,32-cell,128-cell,1000-cell,MBT,mid-gastrula,late gastrula
# total,12236,12302,12530,12705,12969,13039
# zygotic only,9,27,147,215,277,386
% zygotic only,0.07355344883949,0.219476507884897,1.1731843575419,1.6922471467926,2.13586244120595,2.96034972007056
# maternal/zygotic,18,117,897,2611,3155,4252
% maternal/zygotic,0.14710689767898,0.951064867501219,7.15881883479649,20.5509641873278,24.3272418844938,32.6098627195337
# maternal only,12209,12158,11486,9879,9537,8401
% maternal only,99.7793396534815,98.8294586246139,91.6679968076616,77.7567886658796,73.5368956743003,64.4297875603957
