"","amanitin.st8to10.uni.mean","cMO.st8to10.uni.mean","BmpLOF.st8to10.uni.mean","NodalLOF.st8to10.uni.mean","NBLOF.st8to10.uni.mean","WntLOF.st8to10.uni.mean","WBLOF.st8to10.uni.mean","WNLOF.st8to10.uni.mean","WNBLOF.st8to10.uni.mean","mPouVLOF.st8to10.uni.mean","mPSLOF.st8to10.uni.mean","mVegTLOF.st8to10.uni.mean","4xTkd.st10to12.cMO.mean","amanitin.st8to10.uni.mean.padj","cMO.st8to10.uni.mean.padj","BmpLOF.st8to10.uni.mean.padj","NodalLOF.st8to10.uni.mean.padj","NBLOF.st8to10.uni.mean.padj","WntLOF.st8to10.uni.mean.padj","WBLOF.st8to10.uni.mean.padj","WNLOF.st8to10.uni.mean.padj","WNBLOF.st8to10.uni.mean.padj","mPouVLOF.st8to10.uni.mean.padj","mPSLOF.st8to10.uni.mean.padj","mVegTLOF.st8to10.uni.mean.padj","4xTkd.st10to12.cMO.mean.padj","intron.or.exon","baseMean.e","av.log2FC.e","av.padj.e","dv.log2FC.e","dv.padj.e","baseMean.i","av.log2FC.i","av.padj.i","dv.log2FC.i","dv.padj.i","av.pattern.G","dv.pattern.G","pol2.8.mean","pol2.8p.mean","pol2.11.mean","stage","maternal.tpm","meanSt8to11.tpm"
"Xetro.A00077|smad4.1",7.19743407626153,108.149843267119,97.0393328423905,90.5124163889329,110.235276919369,109.605412104178,87.8042535304105,100.245605080583,100.078892626358,89.6481380847682,94.2629459451689,122.147784731933,84.3977990927587,1.30374635854442e-13,1,1,1,1,1,1,1,1,0.962714079998048,0.946376374123541,0.281752922976656,0.00613914842710214,1,5247.35284923884,1.44540072236717,0.0024156430932056,0.282587426703122,1,158.103664525243,0.75666504511203,0.57251707126405,0.095994415872428,1,1.44540072236717,0.282587426703122,1.75763895132817,9.00635184751329,6.17478352625256,8,0.543602276478848,13.964158243883
"Xetro.A00087|smad7",49.3948930431713,108.889011807345,69.2141507118891,72.1537626201118,60.5916911767889,192.527589628374,87.9034944746488,148.04009979843,91.2570447714541,101.868062981285,78.6944154806615,104.34344948568,92.6930669352353,0.035701989394379,1,1,1,0.653983052710468,0.214077669656639,1,0.981781678983891,1,1,0.401768303021636,1,0.285767452774561,1,931.770285580842,0.559382859210456,0.394243492955542,-2.08026979682628,1.35765229317767e-07,171.470055881541,-0.313406010229395,1,-0.869719404494472,1,0.559382859210456,-2.08026979682628,1.03465589798786,5.62682927402903,10.0056280845583,8.5,86.9999099407375,67.2896850770482
"Xetro.A00091|myo5b",34.9419058246176,108.350570642661,111.256213474026,130.553948613753,112.747573742219,115.160487701968,97.4761162234293,105.666520481308,116.062072705538,106.026357031501,49.6809574336992,122.963452602713,104.390815308946,0.000789650300702219,1,1,1,1,1,1,1,1,0.917789159424658,0.00954292806994656,0.861205893141853,0.954873276704597,0,337.554287118336,1.34861936066035,0.158680366046836,-0.0574999689066456,1,39.4304410855953,2.73891662123707,0.00100435595330508,0.471057692388299,1,2.73891662123707,-0.0574999689066456,0.825615697312353,1.51492131784622,2.51757257301183,11,1.40455816396765,2.91583175137588
"Xetro.A00097|rpl17",18.7177696646853,106.217865082247,97.763957061682,86.8015599877528,106.809488462191,99.161361883544,91.110508732126,91.7530377004559,90.8229469013737,110.282127352443,121.306881982515,143.860732222168,99.932450626405,4.45724872256593e-09,1,1,1,1,1,1,1,1,0.710418404211206,0.291235014669103,0.0685449400977856,0.998536715333971,0,2019.55397662483,0.536046753835143,0.767347111465641,0.248017054177379,1,179.605732654528,1.29849325420515,0.323033459249287,0.806824224643216,1,0.536046753835143,0.248017054177379,1.75361656720939,9.34489415396743,6.90265223248145,8.5,223.987841894443,125.257415582885
"Xetro.A00106|pias2",39.7403670048567,103.173558618194,88.7330868053159,101.789859278824,103.777358780052,113.756231073265,86.8263948598534,88.3196297399606,80.6446508158944,154.930703339603,200.412296021753,127.645310512625,80.5332849923985,5.41877073899245e-05,1,1,1,1,1,1,1,1,0.000835928854217882,4.25074627503878e-09,0.47219085840004,0.0208303416685754,0,230.503462232583,-0.440876459784055,1,-0.102381294292914,1,20.2740405175032,1.08861529493266,0.844974602117815,0.322051516178469,1,-0.440876459784055,-0.102381294292914,0.924620920860958,0.785286778110531,0.775635407323919,0,11.8206022364268,9.59024979443414
"Xetro.A00121|",0.329583331021544,128.338949888217,100.900091092162,25.11534218497,38.8626724114075,50.9446439611132,34.6843164133284,18.6071122083799,21.7594307950504,336.009707014931,404.386253272325,97.1885504907781,86.2630259174782,4.84774949292984e-44,1,1,0.963688643298085,1,1,0.693274076966552,0.0517460362327827,0.0939058315993426,8.56706642969582e-34,4.97492720131944e-46,1,0.106343820141875,1,24.8080386283198,-4.63823705884091,3.00246223640633e-05,1.47768242321722,1,56.3113051753167,-5.93065011621929,1.22773368926573e-08,1.28983461702198,1,-5.93065011621929,1.47768242321722,NA,NA,NA,NA,0,1.62771110594593
"Xetro.A00126|",0,71.0860368074028,92.4178291225861,70.2722305437403,77.7540200078094,84.2963656343714,86.5713806939053,105.579684086589,90.0900922476341,350.532114262075,391.483934486115,106.212147188326,88.1945638410753,3.27526344464636e-25,1,1,1,1,1,1,1,1,7.63928206207807e-19,1.59760122705036e-22,1,0.711879845544789,1,3.71124660902792,-0.603942930177025,1,-3.6179495125743,1,0,NA,NA,NA,NA,-0.603942930177025,-3.6179495125743,NA,NA,NA,NA,0,0.564814137913253
"Xetro.A00127|plk2",37.4393662100409,117.974881621735,77.7032628006879,80.2660855915845,71.5146326415704,125.813755469536,117.152160937044,107.742859530436,70.7869462762578,149.293640814906,222.845040273941,157.269653780462,115.435082690789,0.00786277543804904,1,1,1,1,1,1,1,1,0.0157304998275522,0.000103622372721749,0.415309658099903,0.514845758882432,1,1729.37738379268,1.50923896532252,0.845613605597083,-0.42027808677169,1,146.931079106002,1.12601561653884,1,-0.446334673248043,1,1.50923896532252,-0.42027808677169,1.39706367190212,6.73082289237869,1.77844557397952,8.5,6.11177865814335,7.35633022413712
"Xetro.A00136|depdc1b",27.5522591633173,103.336408603062,108.913996887805,134.568691267773,110.481033752267,104.589737087886,86.3737002298966,99.6221049331386,95.3247193483523,74.5475584043141,88.369207658728,107.75769639024,88.819208575172,0.000411206632208366,1,1,1,1,1,1,1,1,0.00606018523555484,0.344629765237443,0.952411428113381,0.155473808518891,0,2590.83842902776,0.467327369526011,0.463609273882441,0.149724415407839,1,128.098888885722,1.17023690087244,0.175148415072441,0.665789887389574,1,0.467327369526011,0.149724415407839,1.01314235252852,4.9707403327446,3.51416083602749,8.5,113.430848087835,102.112963075019
"Xetro.A00140|mier3",48.264628156329,97.2133613193189,106.564650258532,100.590478542367,98.8039110818492,110.934817079924,95.9143284877198,89.693442713579,96.3296263814767,137.174338442886,166.902568532328,102.002616362486,109.596023603942,0.00177356035519027,1,1,1,1,1,1,1,1,0.000359822322086087,3.88162831700244e-11,0.989460140368476,0.220773545986587,0,1864.73142494459,0.613397670175484,0.257900102563756,0.195698713684034,1,154.259064536392,0.254981553655243,1,0.105058266607168,1,0.613397670175484,0.195698713684034,1.51209364023281,3.84645954850195,3.27649671523708,8.5,38.5317277264929,38.5419116724573
"Xetro.A00142|map3k1",28.6626418852224,106.32403870136,97.0489755520828,85.7907377736676,86.9668711392428,92.0617645149652,72.6281809375297,76.2104683560159,72.4876628740651,116.039448984738,97.4696484016171,92.3338054344275,89.9944649812549,0.00302261244856635,1,1,1,1,1,0.502401886219733,0.965549051561471,0.441813815611462,0.643896087639202,1,1,0.0154676191189228,1,1160.41190313216,1.30561523659083,0.000124691712459613,0.266317344516099,1,180.46333885023,0.1114676410265,1,-0.109646107555335,1,1.30561523659083,0.266317344516099,0.99927004192177,3.05193795117517,1.70933745051312,8.5,2.06870921237985,4.61341856995969
"Xetro.A00145|il6st",26.5857595226201,111.359469820971,94.3985795939653,52.3154605420009,63.7282213324455,99.0489251080112,72.1128103405281,64.1073493376365,64.8325438382145,51.487435664139,67.8891848427889,96.2346092119757,96.2333917485503,0.00364617153555959,1,1,0.00954601911246405,0.027524971431353,1,0.230035870529305,0.0115494253574161,0.0140948382746692,5.02617299814211e-05,0.00879061641105347,1,0.62663767908592,1,4105.66971142152,-1.23260243891618,0.311389455507595,0.237049260109179,1,533.150117348077,-1.84095495661912,0.0013022543226968,0.0146123369478038,1,-1.84095495661912,0.237049260109179,1.97027571091893,5.96215343691033,3.56483131467252,8.5,17.4585128185855,33.589273511711
"Xetro.A00146|",9.4186088426761,112.584624242647,85.7709530854794,39.1435411360522,49.2776062293253,89.080304771277,58.7867424988791,49.6709731910861,49.4727256305091,46.0070324723235,66.9059276052319,110.425463953672,95.1053371167543,0.00536609614712805,1,1,0.000249162962373652,0.00250005289884269,1,0.054594981629395,0.000997133368423703,0.000780613134436553,0.000854610529707363,0.0424535128695312,0.499632967224163,0.496663842515238,1,1430.51127400155,-1.23691211672258,0.129580480789717,0.280689126643278,1,0,NA,NA,NA,NA,-1.23691211672258,0.280689126643278,1.07540438121039,6.24979647187364,3.62611576228398,8.5,4.36372786605799,17.5935158184041
"Xetro.A00149|ppap2a",31.5733713842764,129.697276482963,94.6270028609504,87.5846531747097,98.97404819727,146.981329221096,120.472175512202,92.070318612259,119.446558044807,84.2142666150437,84.852020212894,131.719750404074,96.92761627661,7.76197400106559e-07,1,1,1,1,1,1,1,1,0.127294172541973,0.110112816686123,0.047183448193223,0.942524028447268,0,284.728142183566,-0.765546007275423,0.0815624356009723,-0.151275949542309,1,47.1552397408399,0.0574669991398836,1,-0.0411659226870637,1,-0.765546007275423,-0.151275949542309,0.86149458967724,0.876260039237269,1.1379240950555,12.5,9.5062750232263,8.35944558419419
